"Item Code","Item","Description","HS Code","HS07 Code","HS12 Code","CPC Code"
"909","Milk, products of natural constituents nes","","","040490","040490","22290"
"908","Milk, reconstituted","Obtained by adding water, fat, etc. to milk powder.","","040110, 040120","040110, 040120","22110.03"
"888","Milk, skimmed cow","Milk from which most of the fat has been removed.","","040110, 040120","040110, 040120","22110.02"
"898","Milk, skimmed dried","Same as 897, but from skim milk. Normally does not exceed 1.5% fat content.","","040210","040210","22212"
"889","Milk, whole condensed","Milk and cream from which water has been partly removed after heat-treating and concentrating. Normally sucrose is added to give the product stability and bacteriological safety.","","040299","040299","22222.01"
"897","Milk, whole dried","Milk and cream from which water has been completely removed by various methods. In form of powder, granules or other solid forms. May contain added sugar or other sweeteners.","","040221, 040229","040221, 040229","22211"
"894","Milk, whole evaporated","Milk and cream from which the water has been partly removed and which has been heat- treated to render it bacteriologically safe and stable.","","040291","040291","22221.01"
"882","Milk, whole fresh cow","Production data refer to raw milk containing all its constituents. Trade data normally cover milk from any animal, and refer to milk that is not concentrated, pasteurized, sterilized or other-wise preserved, homogenized or peptonized.","","040120, 040130","040120, 040140, 040150","02211"
"982","Milk, whole fresh sheep","See 882 and derived products.","","040120, 040130","040120, 040140, 040150","02291"
"79","Millet","Including inter alia: barnyard or Japanese millet (Echinocloa frumentacea); ragi, finger or African millet (Eleusine coracana); teff (Eragrostis abyssinica); common, golden or proso millet (Panicum miliaceum); koda or ditch millet (Paspalum scrobiculatum); pearl or cattail millet (Pennisetum glaucum); foxtail millet (Setaria italica). Small-grained cereals that include a large number of different botanical species. Originated by the domestication of wild African grasses in the Nile valley and the Sahel zone, millets were subsequently taken to China and India. These cereals tolerate arid conditions and possess a small, highly nutritious grain that stores well. Used locally, both as a food and as a livestock feed. In all areas where they are cultivated, millets are used in traditional beer brewing. Also used as a feed for birds.","","100820","100821, 100829","0118"
"114","Mixes and doughs","Used in the preparation of bakers' wares.","","190120","190120","23180"
"165","Molasses","A by-product of the extraction or refining of beet or cane sugar or of the production of fructose from maize. Used for feed, food, industrial alcohol, alcoholic beverages and ethanol.","","170310, 170390","170310, 170390","23540"
"1110","Mules","Includes hinnies. Mules are offspring of a male ass and a female horse (mare); a hinny is the offspring of a female ass and a male horse (stallion). Both are sterile. See 866.","","010190","010190","02133"
"449","Mushrooms and truffles","Including inter alia: Boletus edulis; Agaricus campestris; Morchella spp. and Tuber magnatum. Cultivated or spontaneous. Includes truffles.","","070951, 070959","070951, 070959","01270"
"451","Mushrooms, canned","Mushrooms and truffles, prepared or preserved o/t by vinegar or acetic acid; either whole, in pieces, or homogenized.","","200310, 200320, 200390","200310, 200390","21397.01"
"292","Mustard seed","White mustard (Brassica alba; B. hirta; Sinapis alba); black mustard (Brassica nigra; Sinapis nigra). In addition to the oil extracted from them, white mustard seeds, may be processed into flour for food use. Black mustard seeds also yield oil and are processed into flour that is used mainly in pharmaceutical products.","","120750","120750","01442"
"702","Nutmeg, mace and cardamoms","Nutmeg, mace (Myristica fragrans); cluster cardamon (Elettaria cardamomum); other cardamons (Aframomum angustifolium; A. hambury; Amomun aromaticum; A. cardamomum); Malaguetta pepper, grains of paradise (Aframomum melegueta). Nutmeg is the inner brown kernel of the fruit of the nutmeg tree. Mace is the net-like membrane between the outer shell and the kernel. Cardamon seeds are enclosed in the capsule produced by perennial herbs of the Zingiberaceae family.","","090810, 090820, 090830","090811, 090812, 090821, 090822, 090831, 090832","01653"
"234","Nuts, nes","Including inter alia: pecan nut (Carya illinoensis); butter or swarri nut (Caryocar nuciferum); pili nut, Java almond, Chinese olives (Canarium spp.); paradise or sapucaia nut (Lecythis zabucajo); Queensland, macadamia nut (Macadamia ternifolia); pignolia nut (Pinus pinea). Other nuts that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report nuts under this heading that are classified individually by FAO.","","080260, 080290","080261, 080262, 080290","01379.90"
"235","Nuts, prepared (exc. groundnuts)","Mainly roasted, whether or not containing vegetable oils, salt, flavours, spices or other additives. Excludes prepared groundnuts, except when mixed with other nuts.","","081190, 081290, 200190, 200799, 200819","081190, 081290, 200190, 200799, 200819","F0235"
"75","Oats","Avena spp., mainly Avena sativa. A plant with open, spreading panicle-bearing large spikelets. Used primarily in breakfast foods. Makes excellent fodder for horses.","","100400","100410, 100490","0117"
"76","Oats rolled","Obtained by crushing or rolling the whole or broken grain; includes grains flaked, hulled or otherwise worked for human consumption.","","110412, 110422","110412, 110422","23140.07"
"868","Offals, edible, cattle","Fresh, chilled or frozen.","","020610, 020621, 020622, 020629, 050400","020610, 020621, 020622, 020629, 050400","21151"
"1018","Offals, edible, goats","Fresh, chilled or frozen.","","020680, 020690, 050400","020680, 020690, 050400","21156"
"1059","Offals, liver chicken","Fresh, chilled or frozen.","","020713, 020714, 020732, 020733, 020735, 020736","020713, 020714, 020760","21160.01"
